,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT,AGE_ENTREPRISE_JOURS,AGE_ENTREPRISE_ANS,DUREE_CONCOURS_MOIS,PERIODICITE_MOIS,FLAG_PERIODICITE_MANQUANTE,NBRE_ECHEANCES,REGION_RC_Béni Mellal-Khénifra,REGION_RC_Casablanca-Settat,REGION_RC_Dakhla-Oued Ed-Dahab,REGION_RC_Drâa-Tafilalet,REGION_RC_Fès-Meknès,REGION_RC_Guelmim-Oued Noun,REGION_RC_L'oriental,REGION_RC_Laâyoune-Sakia El Hamra,REGION_RC_Marrakech-Safi,REGION_RC_Rabat-Salé-Kénitra,REGION_RC_Souss-Massa,REGION_RC_Tanger-Tétouan-Al Hoceima,REGION_TIERS_Béni Mellal-Khénifra,REGION_TIERS_Casablanca-Settat,REGION_TIERS_Dakhla-Oued Ed-Dahab,REGION_TIERS_Drâa-Tafilalet,REGION_TIERS_Fès-Meknès,REGION_TIERS_Guelmim-Oued Noun,REGION_TIERS_L'oriental,REGION_TIERS_Laâyoune-Sakia El Hamra,REGION_TIERS_Marrakech-Safi,REGION_TIERS_Rabat-Salé-Kénitra,REGION_TIERS_Souss-Massa,REGION_TIERS_Tanger-Tétouan-Al Hoceima,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE CASABLANCA,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE FES,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE LAAYOUNE,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE MARRAKECH,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE RABAT,CENTRE_AFFAIRE_CENTRE D’AFFAIRES DE TANGER,CENTRE_AFFAIRE_CENTRE D’AFFAIRES D’OUJDA,VILLE_RC_FREQ,VILLE_TIERS_FREQ
10,4521,45,452,0,63,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0,3365.0,9.212867898699521,60.0,1.0,0,60.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.02981366459627329,0.025331724969843185
11,4030,40,403,5,4,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15447932.5,4009505.5,11438427.0,486736.25,5831575.75,0.0,0.0,0.0,7415658.25,0.0,0.0,0.0,456706.25,19310791.5,12271.0,11477.75,13247984.75,4215211.0,1579828.25,1958206.25,4418414.0,2581078.5,597346.75,-165415.25,406406.0,0.0,0.0,0.0,0.0,6958201.25,9455696.25,16413897.5,1600599.0,2896894.0,0.0,19310791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25171.0,0,1922.0,5.262149212867898,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709
12,4030,40,403,5,4,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15447932.5,4009505.5,11438427.0,486736.25,5831575.75,0.0,0.0,0.0,7415658.25,0.0,0.0,0.0,456706.25,19310791.5,12271.0,11477.75,13247984.75,4215211.0,1579828.25,1958206.25,4418414.0,2581078.5,597346.75,-165415.25,406406.0,0.0,0.0,0.0,0.0,6958201.25,9455696.25,16413897.5,1600599.0,2896894.0,0.0,19310791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25171.0,0,1922.0,5.262149212867898,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709
13,5166,51,516,5,4,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15447932.5,4009505.5,11438427.0,486736.25,5831575.75,0.0,0.0,0.0,7415658.25,0.0,0.0,0.0,456706.25,19310791.5,12271.0,11477.75,13247984.75,4215211.0,1579828.25,1958206.25,4418414.0,2581078.5,597346.75,-165415.25,406406.0,0.0,0.0,0.0,0.0,6958201.25,9455696.25,16413897.5,1600599.0,2896894.0,0.0,19310791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25171.0,0,1958.0,5.360711841204655,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709
14,1744,17,174,10,500,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19235966.75,5649393.75,13586573.0,18606337.75,8341833.5,0.0,0.0,0.0,31199918.75,0.0,0.0,0.0,327577.25,45114069.0,59906502.25,122287.5,106747390.75,25643367.75,7843335.5,5387131.75,76983406.5,18366848.5,6695939.25,-973472.5,3890386.5,0.0,0.0,0.0,0.0,19873603.75,0.0,19873603.75,17801784.0,22373851.5,2866613.75,45114069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214501.5,0,6138.0,16.804928131416837,60.0,1.0,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709
15,5211,52,521,0,0,36,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7189.0,19.682409308692677,180.0,1.0,0,180.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.07204968944099378,0.05066344993968637
16,2956,29,295,0,15,22,7.0,50.0,0.0,0.0,50.0,0.0,0.0,6106600.5,2508506.0,3598094.5,4442187.75,5891886.0,50.0,0.0,0.0,14109095.0,50.0,0.0,0.0,13263.25,17720452.75,14469.0,13899.5,17711944.25,3464711.25,1223222.0,420420.0,12816303.5,2238236.0,642642.0,-216216.0,-160160.0,15.0,0.0,0.0,0.5,3305051.75,0.0,3305051.75,4366111.75,12803290.5,1612110.5,17720452.75,25.0,0.0,0.0,18.7681,0.0,0.0,20.82015,33.0,0.0,0.0,0.5,34844.0,0,-791.0,-2.1656399726214923,48.0,1.0,0,48.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.03229813664596273,0.013268998793727383
17,2953,29,295,10,15,23,1.0,50.0,0.0,0.0,50.0,0.0,0.0,6106600.5,2508506.0,3598094.5,4442187.75,5891886.0,50.0,0.0,0.0,14109095.0,50.0,0.0,0.0,13263.25,17720452.75,14469.0,13899.5,17711944.25,3464711.25,1223222.0,420420.0,12816303.5,2238236.0,642642.0,-216216.0,-160160.0,15.0,0.0,0.0,0.5,3305051.75,0.0,3305051.75,4366111.75,12803290.5,1612110.5,17720452.75,25.0,0.0,0.0,18.7681,0.0,0.0,20.82015,33.0,0.0,0.0,0.5,34844.0,0,-386.0,-1.056810403832991,48.0,1.0,0,48.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.03229813664596273,0.013268998793727383
18,7470,74,747,5,4070,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3065812.75,1500248.75,1565564.0,2452700.25,44284740.5,0.0,0.0,0.0,49670120.5,0.0,0.0,0.0,217717.5,51453402.0,42647.0,29180.0,63583520.0,52767214.5,1776024.25,1517516.0,3964710.75,50967416.5,1114363.25,-410410.0,855855.0,0.0,0.0,0.0,0.0,6117861.75,880129.25,6997991.0,2975472.5,38702914.25,5752496.75,51453402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127040.0,0,2037.0,5.577002053388091,48.0,1.0,0,48.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3242236024844721,0.3823884197828709
19,6220,62,622,2,30,22,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2333331.0,209209.0,2124122.0,128378.25,2639136.5,0.0,0.0,0.0,8077069.0,0.0,0.0,0.0,2144892.75,12346083.75,17481.75,10651.0,23467944.5,4580325.75,1215464.25,907156.25,12646383.75,3342339.0,822822.0,-181931.75,514514.0,0.0,0.0,0.0,0.0,5390385.0,912912.0,6303297.0,4891136.25,6013007.0,39706.333333333336,12346083.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46889.0,0,1520.0,4.161533196440794,84.0,1.0,0,84.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.07204968944099378,0.05066344993968637
